ID,Description,Entry_ID
315-erzengel,Erzengel,315-arkaggilus
316-arkippus,Arkippus,316-arkippus
317-barmherzigkeit,Barmherzigkeit,317-armahairtei
318-almosen,Almosen,318-armahairtia
319-barmherzig,barmherzig,319-armahairts
320-barmherzigkeit,Barmherzigkeit,320-armaio
321-sicheineserbarmen,sich eines erbarmen,321-arman
322-sicheineserbarmen,sich eines erbarmen,322-gaarman
323-armbeklagenswert,"arm, beklagenswert",323-arms
324-arm,Arm,324-arms
325-sicher,sicher,325-arniba
326-aromata,aromata,326-aromata
327-artaksairksus,[Artaksairksus],327-artaksairksus
328-umsonst,umsonst,328-arwjo
329-asaf,Asaf*,329-asaf
330-sommer,Sommer,330-asans
331-aser,Aser*,331-aser
332-asgad,Asgad*,332-asgad
333-asia,Asia,333-asia
334-eselsmuhle,Eselsmühle,334-asiluqairnus
335-esel,Esel,335-asilus
336-asmo,Asmoþ,336-asmo
337-mietlingtagelohner,"Mietling, Tagelöhner",337-asneis
338-apfennig,"Aß, Pfennig",338-assarjus
339-assaum,Assaum,339-assaum
340-sicherheit,Sicherheit,340-asta
341-ast,Ast,341-asts
342-von,von,342-at
343-jahr,Jahr,343-atani
344-aterateir,"Ater*, Ateir*",344-aterateir
345-zugang,Zugang,345-atgagg
346-saat,Saat,346-atisk
347-zumessenausteilen,zum Essen austeilen,347-fraatjan
348-vater,Vater,348-atta
349-dasbeobachten,das Beobachten,349-atwitains
350-aeinim,Aþeinim,350-aeinim
351-jahre,Jahre,351-anam
352-aberdoch,aber doch,352-aan
353-seligkeit,Seligkeit,353-audagei
354-seligpreisen,selig preisen,354-audagjan
355-selig,selig,355-audags
356-begluckt,beglückt,356-audahafts
357-allerdingswohlvielleicht,allerdings; wohl; vielleicht,357-aufto
358-fenster,Fenster,358-augadauro
359-zeigen,zeigen,359-augjan
360-einemzeigen,einem  zeigen,360-ataugjan
361-auge,Auge,361-augo
362-larm,Lärm,362-auhjodus
363-larmen,lärmen,363-auhjon
364-ofen,Ofen,364-auhns
365-ochse,Ochse,365-auhsa
366-ochse,Ochse,366-auhsus
367-hoher,höher,367-auhuma
368-hochster,höchster,368-auhumists
369-dennnamlich,"denn, nämlich",369-auk
370-sichmehren,sich mehren,370-aukan
371-hinzufugenzu,hinzufügen zu,371-anaaukan
372-hinzufugen,hinzufügen,372-biaukan
373-sichvermehrenzunehmen,"sich vermehren, zunehmen",373-gaaukan
374-sichmehren,sich mehren,374-auknan
375-sichvermehrenzunehmen,"sich vermehren, zunehmen",375-biauknan
