ID,Name,Concepticon_ID,Concepticon_Gloss,POS
489_beien,beißen,,,Verb
490_scheltenbedrohen,"schelten, bedrohen",,,Verb
491_bero,Beroþ,,,"Noun, proper"
492_eltern,Eltern,,,"Noun, common, masculine"
493_beania,Beþania,,,"Noun, proper"
494_belaihaim,Beþlaihaim,,,"Noun, proper"
495_besaeida,Beþsaeida,,,"Noun, proper"
496_besfagei,Beþsfagei,,,"Noun, proper"
497_beium,"bei, um",,,"Preposition, +AD"
498_lager,Lager,,,"Noun, common, feminine"
499_bittegebetanliegenaufforderung,"Bitte, Gebet; Anliegen, Aufforderung",,,"Noun, common, feminine"
500_bettler,Bettler,,,"Noun, common, masculine"
501_bittenbetenbetteln,"bitten, beten, betteln",,,Verb
502_betenbitten,"beten, bitten",,,Verb
503_erbitten,erbitten,,,Verb
504_ubervorteilung,Übervorteilung,,,"Noun, common, neuter"
505_ubervorteilung,Übervorteilung,,,"Noun, common"
506_ublenachrede,üble Nachrede,,,"Noun, common, neuter"
507_prahler,Prahler,,,"Noun, common, masculine"
508_woran,woran,,,Adverb
509_zugleichaberrusteauch,zugleich aber rüste auch,,,"Participle, present"
510_beschneidung,Beschneidung,,,"Noun, common, neuter"
511_einenmitetwasbinden,einen mit etwas  binden,,,Verb
512_losenauflosenerklarenentbindenvon,"lösen; auflösen, erklären; entbinden von",,,Verb
513_umbindenmit,umbinden mit ,,,Verb
514_binden,binden,,,Verb
516_ingefahrkommen,in Gefahr kommen,,,"Noun, common"
517_murrenverleumdungen,Murren; Verleumdungen,,,"Noun, common, feminine"
518_nachstellunganschlag,"Nachstellung, Anschlag",,,"Noun, common, feminine"
519_eltern,Eltern,,,<none>
520_befleckung,Befleckung,,,"Noun, common, feminine"
521_ansto,Anstoß,,,"Noun, common, neuter"
522_ringsum,ringsum,,,Adverb
523_nachherspater,"nachher, später",,,Adverb
524_entbietenbefehlen,"entbieten, befehlen",,,Verb
525_verbieten,verbieten,,,Verb
526_beugensichbeugen,beugen; sich beugen,,,Verb
527_beugen,beugen,,,Verb
528_gewohnheit,Gewohnheit,,,"Noun, common, neuter"
529_gewohnt,gewohnt,,,Adjective
530_tisch,Tisch,,,"Noun, common, masculine"
531_sichvermischenmit,sich vermischen mit,,,Verb
533_abschaffen,abschaffen,,,Verb
534_wohlwollengute,"Wohlwollen, Güte",,,"Noun, common, feminine"
535_barmherzigsein,barmherzig sein,,,Verb
537_barmherzigdemgutenzugetan,barmherzig; dem Guten zugetan,,,Adjective
538_aufblasen,aufblasen,,,Verb
540_durchbleuen,durchbleuen,,,Verb
542_erblinden,erblinden,,,Verb
543_blind,blind,,,Adjective
544_blume,Blume,,,"Noun, common, masculine"
545_verehren,verehren,,,Verb
546_verehrung,Verehrung,,,"Noun, common, masculine"
547_blut,Blut,,,"Noun, common, neuter"
548_blutflussig,blutflüssig,,,"Participle, present"
549_reibenzerreiben,"reiben, zerreiben",,,Verb
550_buchstabe,Buchstabe,,,"Noun, common, feminine"
551_schriftgelehrterschreiber,Schriftgelehrter; Schreiber,,,"Noun, common, masculine"
552_nutzen,Nutzen,,,"Noun, common, feminine"
553_nutzenbessern,"nützen, bessern",,,Verb
554_verbessernherstellen,"verbessern, herstellen",,,Verb
555_imaugenblick,im Augenblick,,,"Noun, common"
556_breite,Breite,,,"Noun, common, feminine"
557_ausbreitennach,ausbreiten nach,,,Verb
558_breit,breit,,,Adjective
559_ringenringkampf,"Ringen, Ringkampf",,,"Noun, common, feminine"
561_inbrandstecken,in Brand stecken,,,Verb
562_bringen,bringen,,,Verb
563_brechenzerstoren,brechen; zerstören,,,Verb
564_zerbrechen,zerbrechen,,,Verb
565_verwerfenverachten,"verwerfen, verachten",,,Verb
569_bruder,Bruder,,,"Noun, common, masculine"
570_bruder,Brüder,,,"Noun, common, masculine"
571_bruderliebe,Bruderliebe,,,"Noun, common, feminine"
572_gebrauchen,gebrauchen,,,Verb
573_ausgebrochenwerden,ausgebrochen werden,,,Verb
574_brauchbar,brauchbar,,,Adjective
575_brustharnisch,Brustharnisch,,,"Noun, common, feminine"
576_brunnen,Brunnen,,,"Noun, common, masculine"
577_brust,Brust,,,"Noun, common, feminine"
578_brautigam,Bräutigam,,,"Noun, common, masculine"
579_neuvermahlteschwiegertochter,"Neuvermählte, Schwiegertochter",,,"Noun, common, feminine"
580_kaufen,kaufen,,,Verb
581_verkaufenfur,verkaufen für,,,Verb
582_erkaufen,erkaufen,,,Verb
583_entbundenwerden,entbunden werden,,,Verb
584_feineslinnen,feines Linnen,,,"Noun, common"
585_wasihmbevorstand,was ihm bevorstand,,,Verb
586_saugen,säugen,,,Verb
587_tag,Tag,,,"Noun, common, masculine"
588_teig,Teig,,,"Noun, common, masculine"
590_teilnahmegemeinschaft,"Teilnahme, Gemeinschaft",,,"Noun, common, feminine"
591_teilenzuteilenmitteilen,"teilen, zuteilen, mitteilen",,,Verb
592_abteileneinenteilabgeben,"abteilen, einen Teil abgeben ",,,Verb
593_verteilenzerteilen,"verteilen, zerteilen",,,Verb
594_verteilenunter,verteilen unter ,,,Verb
595_zuteilenzerteilen,"zuteilen, zerteilen",,,Verb
596_teil,Teil,,,"Noun, common, feminine"
597_besessener,Besessener,,,"Noun, common, masculine"
598_grubeschluchttal,"Grube; Schlucht, Tal",,,"Noun, common, masculine"
599_zutalabwartsniederaufdieerde,"zu Tal, abwärts, nieder; auf die Erde",,,"Adverb, directional"
600_unten,unten,,,"Adverb, locative"
601_vonuntenunten,"von unten, unten",,,"Adverb, directional"
602_dalmatia,Dalmatia,,,"Noun, proper"
603_damaskon,Damaskon,,,"Noun, proper"
604_verdammenversperren,"verdämmen, versperren",,,Verb
606_taubheit,Taubheit,,,"Noun, common, feminine"
607_verstocken,verstocken,,,Verb
