ID,Language_ID,Headword,Part_Of_Speech
186-aldomin,Gothic,aldomin,"Noun, common"
187-alds,Gothic,alds,"Noun, common, feminine"
188-aleina,Gothic,aleina,"Noun, common, feminine"
189-alew,Gothic,alew*,"Noun, common, neuter"
190-alewabagms,Gothic,alewabagms,"Noun, common, masculine"
191-alewja,Gothic,alewja,Adjective
192-alfaius,Gothic,Alfaius,"Noun, proper"
193-alhs,Gothic,alhs,"Noun, common, feminine"
194-alja,Gothic,alja,Conjunction
195-aljakuns,Gothic,aljakuns,Adjective
196-aljaleiko,Gothic,aljaleiko,Adverb
197-aljaleikos,Gothic,aljaleikos,"Adverb, Comparative"
198-aljaleikos,Gothic,[aljaleikoþs],"Participle, past"
199-aljan,Gothic,aljan,Verb
200-aljan,Gothic,aljan,"Noun, common, neuter"
201-aljanon,Gothic,aljanon,Verb
202-inaljanon,Gothic,in-aljanon,Verb
203-aljar,Gothic,aljar,"Adverb, locative"
204-alja,Gothic,aljaþ,"Adverb, directional"
205-aljaro,Gothic,aljaþro,"Adverb, directional"
206-aljis,Gothic,aljis*,Adjective
207-allandjo,Gothic,allandjo,Adverb
208-allaro,Gothic,allaþro,"Adverb, directional"
209-allawaurstwa,Gothic,allawaurstwa,"Noun, common, masculine"
210-allawerei,Gothic,allawerei,"Noun, common, feminine"
211-allis,Gothic,allis,Adverb
212-alls,Gothic,alls,Adjective
213-allwaldands,Gothic,allwaldands,"Noun, common, masculine"
214-usalan,Gothic,us-alþan,Verb
215-aleis,Gothic,alþeis,Adjective
216-alul,Gothic,[Alul],"Noun, proper"
217-ameinadab,Gothic,Ameinadab*,"Noun, proper"
218-amen,Gothic,amen,Foreign word
219-ammo,Gothic,Ammo*,"Noun, proper"
220-ams,Gothic,ams*,"Noun, common, masculine"
221-amsa,Gothic,amsa*,"Noun, common, masculine"
222-an,Gothic,an,Particle
223-ana,Gothic,ana,Adverb
224-anabusns,Gothic,anabusns,"Noun, common, feminine"
225-anafilh,Gothic,anafilh,"Noun, common, neuter"
226-anahaimeis,Gothic,anahaimeis*,Adjective
227-anaks,Gothic,anaks,"Adverb, temporal"
228-anakunnains,Gothic,anakunnains,"Noun, common, feminine"
229-analageins,Gothic,analageins,"Noun, common, feminine"
230-analaugnei,Gothic,analaugnei,"Noun, common, feminine"
231-analaugns,Gothic,analaugns,Adjective
232-analeiko,Gothic,analeiko,Adverb
233-anamahts,Gothic,anamahts,"Noun, common, feminine"
234-anaminds,Gothic,anaminds,"Noun, common, feminine"
235-uzanan,Gothic,uz-anan,Verb
236-ananias,Gothic,Ananias*,"Noun, proper"
237-ananeias,Gothic,Ananeias*,<none>
238-ananiujia,Gothic,ananiujiþa*,"Noun, common, feminine"
239-anaqal,Gothic,anaqal,"Noun, common"
240-anaqiss,Gothic,anaqiss,"Noun, common, feminine"
241-anasiuns,Gothic,anasiuns,Adjective
242-anastodeins,Gothic,anastodeins,"Noun, common, feminine"
243-anaaima,Gothic,anaþaima,Foreign word
244-anao,Gothic,Anaþoþ,"Noun, proper"
245-anawairs,Gothic,anawairþs,Adjective
246-anawiljei,Gothic,anawiljei,"Noun, common, feminine"
247-and,Gothic,and,"Preposition, +A"
248-andabauhts,Gothic,andabauhts,"Noun, common, feminine"
249-andabeit,Gothic,andabeit,"Noun, common, neuter"
250-andahafts,Gothic,andahafts,"Noun, common, feminine"
251-andahait,Gothic,andahait,"Noun, common, neuter"
252-andalauni,Gothic,andalauni,"Noun, common, neuter"
253-andanahti,Gothic,andanahti,"Noun, common, neuter"
254-andaneia,Gothic,andaneiþa,"Noun, common, masculine"
255-andanem,Gothic,andanem,"Noun, common, neuter"
256-andanemeigs,Gothic,andanemeigs,Adjective
257-andanems,Gothic,andanems,Adjective
