Grapheme	IPA
auhuma	ɔhuma
auhumists	ɔhumɪsts
auk	ɔk
aukan	ɔkan
anaaukan	anaɔkan
biaukan	bɪɔkan
gaaukan	ɡaɔkan
auknan	ɔknan
biauknan	bɪɔknan
Auneiseifaurus	ɔnisiɸɔrus
Aunisimus	ɔnɪsɪmus
aurahjom	ɔrahjom
aurali	ɔralɪ
aurkjus	ɔrkjus
aurkeis	ɔrkis
aurtigards	ɔrtɪɣards
aurtja	ɔrtja
auso	ɔso
auþida	ɔθɪða
auþeis	ɔθis
auþs	ɔθs
aweþi	aweθɪ
awiliudon	awɪlɪuðon
awiliuþ	awɪlɪuθ
awistr	awɪstr̥
awo	awo
Axaïa	aχɛ̈a
azetjam	azetjam
azets	azets
azgo	azɡo
azwme	azwme
ba	ba
Babawis	baβawɪs
badi	baðɪ
Bagauis	baɣɔɪs
bagms	baɣm̥s
bai	bɛ
Baiailzaibul	bɛɛlzɛβul
baidjan	bɛðjan
gabaidjan	ɡaβɛðjan
Baidsaiïdan	bɛðsɛɪ̈ðan
Bailiam	bɛlɪam
Bainiamein	bɛnɪamin
bairabagms	bɛraβaɣm̥s
bairan	bɛran
atbairan	atbɛran
innatbairan	ɪnːatbɛran
frabairan	ɸraβɛran
gabairan	ɡaβɛran
þairhbairan	θɛrhbɛran
usbairan	usbɛran
ūtbairan	utbɛran
Bairauja	bɛrɔja
bairgahei	bɛrɡahi
bairgan	bɛrɡan
gabairgan	ɡaβɛrɡan
bairhtei	bɛrhti
bairhtjan	bɛrhtjan
gabairhtjan	ɡaβɛrhtjan
bairhts	bɛrhts
bairhtaba	bɛrhtaβa
baitrei	bɛtri
baitrs	bɛtr̥s
Baiþil	bɛθɪl
Baiþlaem	bɛθlaem
Baiþsaïdan	bɛθsɛ̈ðan
bajoþs	bajoθs
balgs	balɡs
balsagga	balsaŋɡa
balsan	balsan
balþaba	balθaβa
balþei	balθi
balþjan	balθjan
balwawesei	balwawesi
balweins	balwins
balwjan	balwjan
