Grapheme	IPA
ibnaskauns	ɪ β n a s k ɔ n s
skauneis	s k ɔ n i s
ibnassus	ɪ β n a sː u s
gaïbnjan	ɡ ɛ̈ β n j a n
ibns	ɪ β n̥ s
ibuks	ɪ β u k s
iddja	ɪ dː j a
idreiga	ɪ ð r i ɣ a
idreigon	ɪ ð r i ɣ o n
gaïdreigon	ɡ ɛ̈ ð r i ɣ o n
idumaia	ɪ ð u m ɛ a
idweit	ɪ ð w i t
idweitjan	ɪ ð w i t j a n
iesus	ɪ e s u s
iftuma	ɪ ɸ t u m a
iggqar	ɪ ŋ ɡ kʷ a r
igqis	ɪ ŋ kʷ ɪ s
ik	ɪ k
ikei	ɪ k i
in	ɪ n
inahei	ɪ n a h i
inahs	ɪ n a h s
ingardja	ɪ n ɡ a r d j a
inilo	ɪ n ɪ l o
inkilþo	ɪ n k ɪ l θ o
inkunja	ɪ n k u n j a
inmaideins	ɪ n m ɛ ð i n s
inn	ɪ nː
inna	ɪ nː a
innakunds	ɪ nː a k u n d s
innana	ɪ nː a n a
innatgāhts	ɪ nː a t ɡ a h t s
innaþro	ɪ nː a θ r o
inniujiþa	ɪ nː ɪ u j ɪ θ a
innuma	ɪ nː u m a
insahts	ɪ n s a h t s
inuh	ɪ n u h
inuh	ɪ n u h
inwindiþa	ɪ n w ɪ n d ɪ θ a
inwinds	ɪ n w ɪ n d s
inwitoþs	ɪ n w ɪ t o θ s
ioanan	ɪ o a n a n
ioda	ɪ o ð a
iohanna	ɪ o h a nː a
iohanna	ɪ o h a nː a
iohannes	ɪ o h a nː e s
iora	ɪ o r a
ioreim	ɪ o r i m
iosef	ɪ o s e ɸ
iosezis	ɪ o s e z ɪ s
is_m	ɪ s m
isak	ɪ s a k
iskariotes	ɪ s k a r ɪ o t e s
israel	ɪ s r a e l
israeleites	ɪ s r a e l i t e s
itan	ɪ t a n
fraïtan	ɸ r ɛ̈ t a n
ituraia	ɪ t u r ɛ a
iþ	ɪ θ
iudaia	ɪ u ð ɛ a
iudaialand	ɪ u ð ɛ a l a n d
iudaius	ɪ u ð ɛ u s
judaius	j u ð ɛ u s
iudaiwisko	ɪ u ð ɛ w ɪ s k o
iudaiwiskon	ɪ u ð ɛ w ɪ s k o n
iudas	ɪ u ð a s
iumjo	ɪ u m j o
iup	ɪ u p
iupa	ɪ u p a
iupana	ɪ u p a n a
iupaþro	ɪ u p a θ r o
iuse	ɪ u s e
iusila	ɪ u s ɪ l a
iusiza	ɪ u s ɪ z a
izei	ɪ z i
ize	ɪ z e
izwar	ɪ z w a r
izwizei	ɪ z w ɪ z i
ja	j a
jabai	j a β ɛ
jaeirus	j a i r u s
jah	j a h
jai	j ɛ
jainar	j ɛ n a r
jaind	j ɛ n d
jaindre	j ɛ n d r e
jaindwairþs	j ɛ n d w ɛ r θ s
jains	j ɛ n s
jainþro	j ɛ n θ r o
jairupulai	j ɛ r u p u l ɛ
janna	j a nː a
jannes	j a nː e s
jaþþe	j a θː e
jau	j ɔ
jaurdanau	j ɔ r d a n ɔ
jer	j e r
jiuka	j ɪ u k a
jiukan	j ɪ u k a n
gajiukan	ɡ a j ɪ u k a n
jiuleis	j ɪ u l i s
jota	j o t a
ju	j u
judaiwisks	j u ð ɛ w ɪ s k s
judaius	j u ð ɛ u s
judas	j u ð a s
juggs	j u ŋ ɡ s
juk	j u k
jukuzi	j u k u z ɪ
junda	j u n d a
jūs	j u s
justus	j u s t u s
juþan	j u θ a n
jūzei	j u z i
kaballarja	k a β a lː a r j a
kaeinan	k a i n a n
kafarnaum	k a ɸ a r n ɔ m
kaidmeiel	k ɛ ð m i e l
kaidron	k ɛ ð r o n
kaisar	k ɛ s a r
kaisaragild	k ɛ s a r a ɣ ɪ l d
kaisaria	k ɛ s a r ɪ a
kajafa	k a j a ɸ a
kalbo	k a l b o
kalds	k a l d s
kalkinassus	k a l k ɪ n a sː u s
kalkjom	k a l k j o m
kananeites	k a n a n i t e s
kann	k a nː
kannjan	k a nː j a n
gakannjan	ɡ a k a nː j a n
uskannjan	u s k a nː j a n
kapillon	k a p ɪ lː o n
kara	k a r a
kareiaþiareim	k a r i a θ ɪ a r i m
karkara	k a r k a r a
karon	k a r o n
gakaron	ɡ a k a r o n
karpus	k a r p u s
kas	k a s
kasja	k a s j a
katile	k a t ɪ l e
kaulaussaium	k ɔ l ɔ sː ɛ u m
kaupatjan	k ɔ p a t j a n
kaupon	k ɔ p o n
kaurazein	k ɔ r a z i n
kaurban	k ɔ r b a n
kaurbaunan	k ɔ r b ɔ n a n
kaurei	k ɔ r i
kaurinþius	k ɔ r ɪ n θ ɪ u s
kaurinþon	k ɔ r ɪ n θ o n
kauriþa	k ɔ r ɪ θ a
kaurjan	k ɔ r j a n
anakaurjan	a n a k ɔ r j a n
miþkaurjan	m ɪ θ k ɔ r j a n
kaurjos	k ɔ r j o s
kaurn	k ɔ r n̥
kaurno	k ɔ r n o
kausjan	k ɔ s j a n
gakausjan	ɡ a k ɔ s j a n
kawtsjo	k a w t s j o
kefas	k e ɸ a s
keinan	k i n a n
uskeinan	u s k i n a n
miþuskeinan	m ɪ θ u s k i n a n
kelikn	k e l ɪ k n̥
kileikia	k ɪ l i k ɪ a
kilþei	k ɪ l θ i
kindins	k ɪ n d ɪ n s
kinnus	k ɪ nː u s
kintus	k ɪ n t u s
kiusan	k ɪ u s a n
gakiusan	ɡ a k ɪ u s a n
uskiusan	u s k ɪ u s a n
klemaintau	k l e m ɛ n t ɔ
klaimaintau	k l ɛ m ɛ n t ɔ
klismjan	k l ɪ s m j a n
klismo	k l ɪ s m o
kniu	k n ɪ u
knodai	k n o ð ɛ
knussjan	k n u sː j a n
kosam	k o s a m
kreks	k r e k s
kreskus	k r e s k u s
kretai	k r e t ɛ
kretes	k r e t e s
krispus	k r ɪ s p u s
kriustan	k r ɪ u s t a n
gakroton	ɡ a k r o t o n
krusts	k r u s t s
kubitus	k u β ɪ t u s
kukjan	k u k j a n
bikukjan	b ɪ k u k j a n
anakumbjan	a n a k u m b j a n
kumei	k u m i
kunawida	k u n a w ɪ ð a
kuni	k u n ɪ
kunnan	k u nː a n
frakunnan	ɸ r a k u nː a n
gakunnan	ɡ a k u nː a n
kunnan	k u nː a n
anakunnan	a n a k u nː a n
atkunnan	a t k u nː a n
gakunnan	ɡ a k u nː a n
ufkunnan	u ɸ k u nː a n
kunþi	k u n θ ɪ
kunþs	k u n θ s
kusa	k u s a
kustanteinus	k u s t a n t i n u s
kustus	k u s t u s
kwreinaius	k w r i n ɛ u s
kwreinaius	k w r i n ɛ u s
laggamodei	l a ŋ ɡ a m o ð i
laggei	l a ŋ ɡ i
laggs	l a ŋ ɡ s
lagjan	l a ɣ j a n
aflagjan	a ɸ l a ɣ j a n
analagjan	a n a l a ɣ j a n
atlagjan	a t l a ɣ j a n
faurlagjan	ɸ ɔ r l a ɣ j a n
galagjan	ɡ a l a ɣ j a n
ufarlagjan	u ɸ a r l a ɣ j a n
uslagjan	u s l a ɣ j a n
laian	l ɛ a n
lauan	l ɔ a n
laiba	l ɛ β a
bilaibjan	b ɪ l ɛ β j a n
bilaif	b ɪ l ɛ ɸ
laigaion	l ɛ ɣ ɛ o n
bilaigon	b ɪ l ɛ ɣ o n
laikan	l ɛ k a n
bilaikan	b ɪ l ɛ k a n
laiks	l ɛ k s
laiktjo	l ɛ k t j o
lais	l ɛ s
laisareis	l ɛ s a r i s
laiseigs	l ɛ s i ɣ s
laiseins	l ɛ s i n s
laisjan	l ɛ s j a n
galaisjan	ɡ a l ɛ s j a n
uslaisjan	u s l ɛ s j a n
laistjan	l ɛ s t j a n
afarlaistjan	a ɸ a r l ɛ s t j a n
galaistjan	ɡ a l ɛ s t j a n
laists	l ɛ s t s
laiwweis	l ɛ wː i s
laiwweiteis	l ɛ wː i t i s
lamaik	l a m ɛ k
lamb	l a m b
land	l a n d
lasiws	l a s ɪ w s
latei	l a t i
latjan	l a t j a n
analatjan	a n a l a t j a n
galatjan	ɡ a l a t j a n
lats	l a t s
laþaleiko	l a θ a l i k o
laþon	l a θ o n
atlaþon	a t l a θ o n
galaþon	ɡ a l a θ o n
laþons	l a θ o n s
lauan	l ɔ a n
galaubjan	ɡ a l ɔ β j a n
uslaubjan	u s l ɔ β j a n
laudeikaia	l ɔ ð i k ɛ a
laudi	l ɔ ð ɪ
laufs	l ɔ ɸ s
laugnjan	l ɔ ɣ n j a n
galaugnjan	ɡ a l ɔ ɣ n j a n
lauhatjan	l ɔ h a t j a n
lauhmuni	l ɔ h m u n ɪ
lauidjai	l ɔ ɪ ð j ɛ
laun	l ɔ n
launawargs	l ɔ n a w a r ɡ s
laus	l ɔ s
lausawaurdei	l ɔ s a w ɔ r d i
lausawaurdi	l ɔ s a w ɔ r d ɪ
lausawaurds	l ɔ s a w ɔ r d s
laushandja	l ɔ s h a n d j a
lausjan	l ɔ s j a n
galausjan	ɡ a l ɔ s j a n
uslausjan	u s l ɔ s j a n
lausqiþrei	l ɔ s kʷ ɪ θ r i
lausqiþrs	l ɔ s kʷ ɪ θ r̥ s
lazarus	l a z a r u s
bileiban	b ɪ l i β a n
leihts	l i h t s
leiƕan	l i ʍ a n
leik	l i k
leikains	l i k ɛ n s
leikan	l i k a n
galeikan	ɡ a l i k a n
fauragaleikan	ɸ ɔ r a ɣ a l i k a n
leikeins	l i k i n s
leikeis	l i k i s
sildaleikjan	s ɪ l d a l i k j a n
gáleikon	ɡ a l i k o n
gagáleikon	ɡ a ɣ a l i k o n
ingáleikon	ɪ n ɡ a l i k o n
miþgáleikon	m ɪ θ ɡ a l i k o n
þairhgáleikon	θ ɛ r h ɡ a l i k o n
lein	l i n
leitan	l i t a n
leitils	l i t ɪ l s
afleiþan	a ɸ l i θ a n
bileiþan	b ɪ l i θ a n
galeiþan	ɡ a l i θ a n
inngaleiþan	ɪ nː ɣ a l i θ a n
miþinngaleiþan	m ɪ θ ɪ nː ɣ a l i θ a n
hindarleiþan	h ɪ n d a r l i θ a n
þairhleiþan	θ ɛ r h l i θ a n
ufarleiþan	u ɸ a r l i θ a n
usleiþan	u s l i θ a n
leiþu	l i θ u
lekeis	l e k i s
lekinassus	l e k ɪ n a sː u s
lekinon	l e k ɪ n o n
galeikinon	ɡ a l i k ɪ n o n
letan	l e t a n
afletan	a ɸ l e t a n
fraletan	ɸ r a l e t a n
usletan	u s l e t a n
andletnan	a n d l e t n a n
lew	l e w
lewjan	l e w j a n
fralewjan	ɸ r a l e w j a n
galewjan	ɡ a l e w j a n
libains	l ɪ β ɛ n s
liban	l ɪ β a n
miþliban	m ɪ θ l ɪ β a n
aflifnan	a ɸ l ɪ ɸ n a n
ligan	l ɪ ɣ a n
atligan	a t l ɪ ɣ a n
ufligan	u ɸ l ɪ ɣ a n
ligrs	l ɪ ɣ r̥ s
lima	l ɪ m a
aflinnan	a ɸ l ɪ nː a n
lisan	l ɪ s a n
galisan	ɡ a l ɪ s a n
listeigs	l ɪ s t i ɣ s
lists	l ɪ s t s
litai	l ɪ t ɛ
liteins	l ɪ t i n s
miþlitjan	m ɪ θ l ɪ t j a n
liþus	l ɪ θ u s
liubaleiks	l ɪ u β a l i k s
liudan	l ɪ u ð a n
awiliudon	a w ɪ l ɪ u ð o n
liufs	l ɪ u ɸ s
liuga	l ɪ u ɣ a
liugan	l ɪ u ɣ a n
galiugan	ɡ a l ɪ u ɣ a n
liugan	l ɪ u ɣ a n
liugn	l ɪ u ɣ n̥
liugnapraufetus	l ɪ u ɣ n a p r ɔ ɸ e t u s
liugnawaurds	l ɪ u ɣ n a w ɔ r d s
liugnja	l ɪ u ɣ n j a
liuhadei	l ɪ u h a ð i
liuhadeins	l ɪ u h a ð i n s
liuhadeins	l ɪ u h a ð i n s
liuhaþ	l ɪ u h a θ
liuhtjan	l ɪ u h t j a n
galiuhtjan	ɡ a l ɪ u h t j a n
inliuhtjan	ɪ n l ɪ u h t j a n
fraliusan	ɸ r a l ɪ u s a n
liutei	l ɪ u t i
liuts	l ɪ u t s
liuþareis	l ɪ u θ a r i s
liuþon	l ɪ u θ o n
lofa	l o ɸ a
loþ	l o θ
lubains	l u β ɛ n s
lubjaleis	l u β j a l i s
lubjaleisei	l u β j a l i s i
ludja	l u ð j a
luftu	l u ɸ t u
galūkan	ɡ a l u k a n
uslukan	u s l u k a n
lukarn	l u k a r n̥
lukarnastaþa	l u k a r n a s t a θ a
lukas	l u k a s
lukius	l u k ɪ u s
galuknan	ɡ a l u k n a n
usluknan	u s l u k n a n
lun	l u n
fralusnan	ɸ r a l u s n a n
luston	l u s t o n
lustus	l u s t u s
lustusama	l u s t u s a m a
luton	l u t o n
usluton	u s l u t o n
lwddomaeis	l w dː o m a i s
lwsanius	l w s a n ɪ u s
lwstrws	l w s t r w s
maeinan	m a i n a n
magan	m a ɣ a n
gamagan	ɡ a m a ɣ a n
magaþei	m a ɣ a θ i
magaþs	m a ɣ a θ s
magdalan	m a ɣ d a l a n
magdalene	m a ɣ d a l e n e
magula	m a ɣ u l a
magus	m a ɣ u s
mahaþ	m a h a θ
mahteigs	m a h t i ɣ s
anamahtjan	a n a m a h t j a n
mahts	m a h t s
mahts	m a h t s
maidjan	m ɛ ð j a n
inmaidjan	ɪ n m ɛ ð j a n
maihstus	m ɛ h s t u s
mailaian	m ɛ l ɛ a n
maile	m ɛ l e
mailkei	m ɛ l k i
maimbrana	m ɛ m b r a n a
gámainjan	ɡ a m ɛ n j a n
gagámainjan	ɡ a ɣ a m ɛ n j a n
mais	m ɛ s
maisaullam	m ɛ s ɔ lː a m
maists	m ɛ s t s
maist	m ɛ s t
maitan	m ɛ t a n
afmaitan	a ɸ m ɛ t a n
bimaitan	b ɪ m ɛ t a n
gamaitan	ɡ a m ɛ t a n
usmaitan	u s m ɛ t a n
maiþms	m ɛ θ m̥ s
maiza	m ɛ z a
makeibis	m a k i β ɪ s
makidoneis	m a k ɪ ð o n i s
makidonja	m a k ɪ ð o n j a
makmas	m a k m a s
malan	m a l a n
malailaiel	m a l ɛ l ɛ e l
malkus	m a l k u s
malma	m a l m a
malo	m a l o
gamalwjan	ɡ a m a l w j a n
mambres	m a m b r e s
mammo	m a mː o
mammona	m a mː o n a
bimampjan	b ɪ m a m p j a n
man	m a n
managdūþs	m a n a ɣ d u θ s
managei	m a n a ɣ i
managfalþs	m a n a ɣ ɸ a l θ s
managjan	m a n a ɣ j a n
managnan	m a n a ɣ n a n
usmanagnan	u s m a n a ɣ n a n
manags	m a n a ɣ s
manamaurþrja	m a n a m ɔ r θ r j a
manaseþs	m a n a s e θ s
manaulja	m a n ɔ l j a
manleika	m a n l i k a
manna	m a nː a
manna	m a nː a
mannahun	m a nː a h u n
manniskodus	m a nː ɪ s k o ð u s
mannisks	m a nː ɪ s k s
manwiþa	m a n w ɪ θ a
manwjan	m a n w j a n
fauramanwjan	ɸ ɔ r a m a n w j a n
gamanwjan	ɡ a m a n w j a n
fauragamanwjan	ɸ ɔ r a ɣ a m a n w j a n
manwus	m a n w u s
maran_aþa	m a r a n a θ a
marei	m a r i
maria	m a r ɪ a
marikreitum	m a r ɪ k r i t u m
marisaiws	m a r ɪ s ɛ w s
marja	m a r j a
marka	m a r k a
markaillaus	m a r k ɛ lː ɔ s
gamarkon	ɡ a m a r k o n
markus	m a r k u s
marwtre	m a r w t r e
marþa	m a r θ a
marzeins	m a r z i n s
marzjan	m a r z j a n
afmarzjan	a ɸ m a r z j a n
gamarzjan	ɡ a m a r z j a n
matibalgs	m a t ɪ β a l ɡ s
matjan	m a t j a n
gamatjan	ɡ a m a t j a n
mats	m a t s
mattaþanis	m a tː a θ a n ɪ s
mattaþius	m a tː a θ ɪ u s
matþaius	m a t θ ɛ u s
matþat	m a t θ a t
maþa	m a θ a
maþl	m a θ l̥
maþlein	m a θ l i n
maþljan	m a θ l j a n
maþusalis	m a θ u s a l ɪ s
maudjan	m ɔ ð j a n
gamaudjan	ɡ a m ɔ ð j a n
maurgins	m ɔ r ɡ ɪ n s
gamaurgjan	ɡ a m ɔ r ɡ j a n
maurnan	m ɔ r n a n
maurþr	m ɔ r θ r̥
maurþrjan	m ɔ r θ r j a n
mawi	m a w ɪ
mawilo	m a w ɪ l o
megs	m e ɣ s
meins	m i n s
meki	m e k ɪ
mel	m e l
mela	m e l a
meljan	m e l j a n
anameljan	a n a m e l j a n
faurameljan	ɸ ɔ r a m e l j a n
gameljan	ɡ a m e l j a n
fauragameljan	ɸ ɔ r a ɣ a m e l j a n
ufmeljan	u ɸ m e l j a n
ufarmeljan	u ɸ a r m e l j a n
mena	m e n a
menoþs	m e n o θ s
mereins	m e r i n s
merila	m e r ɪ l a
meriþa	m e r ɪ θ a
merjan	m e r j a n
merjands	m e r j a n d s
usmerjan	u s m e r j a n
wailamerjan	w ɛ l a m e r j a n
wajamerjan	w a j a m e r j a n
usmernan	u s m e r n a n
mes	m e s
midgardiwaddjus	m ɪ ð ɡ a r d ɪ w a dː j u s
midjasweipains	m ɪ ð j a s w i p ɛ n s
midjis	m ɪ ð j ɪ s
midjungards	m ɪ ð j u n ɡ a r d s
miduma	m ɪ ð u m a
midumonds	m ɪ ð u m o n d s
mikildūþs	m ɪ k ɪ l d u θ s
mikilei	m ɪ k ɪ l i
mikiljan	m ɪ k ɪ l j a n
gamikiljan	ɡ a m ɪ k ɪ l j a n
mikilnan	m ɪ k ɪ l n a n
mikils	m ɪ k ɪ l s
mikilþuhts	m ɪ k ɪ l θ u h t s
mildiþa	m ɪ l d ɪ θ a
milhma	m ɪ l h m a
militon	m ɪ l ɪ t o n
miliþ	m ɪ l ɪ θ
miluks	m ɪ l u k s
mimz	m ɪ m z
minnists	m ɪ nː ɪ s t s
minniza	m ɪ nː ɪ z a
mins	m ɪ n s
minznan	m ɪ n z n a n
missadeþs	m ɪ sː a ð e θ s
missaleiks	m ɪ sː a l i k s
missaqiss	m ɪ sː a kʷ ɪ sː
missataujands	m ɪ sː a t ɔ j a n d s
misso	m ɪ sː o
mitadjo	m ɪ t a ð j o
mitan	m ɪ t a n
gamitan	ɡ a m ɪ t a n
usmitan	u s m ɪ t a n
mitaþs	m ɪ t a θ s
miton	m ɪ t o n
ufarmiton	u ɸ a r m ɪ t o n
mitons	m ɪ t o n s
miþ	m ɪ θ
miþgardawaddjus	m ɪ θ ɡ a r d a w a dː j u s
miþþan	m ɪ θː a n
miþþanei	m ɪ θː a n i
miþwissei	m ɪ θ w ɪ sː i
mizdo	m ɪ z d o
modags	m o ð a ɣ s
afmojan	a ɸ m o j a n
moses	m o s e s
mota	m o t a
gamotan	ɡ a m o t a n
motareis	m o t a r i s
motastaþs	m o t a s t a θ s
gamotjan	ɡ a m o t j a n
wiþragamotjan	w ɪ θ r a ɣ a m o t j a n
moþs	m o θ s
mukamodei	m u k a m o ð i
mulda	m u l d a
muldeins	m u l d i n s
faurmūljan	ɸ ɔ r m u l j a n
munan	m u n a n
gamunan	ɡ a m u n a n
munan	m u n a n
mundon	m u n d o n
mundrei	m u n d r i
ufarmunnon	u ɸ a r m u nː o n
muns	m u n s
munþs	m u n θ s
nabaw	n a β a w
nadre	n a ð r e
naem	n a e m
naggai	n a ŋ ɡ ɛ
ganagljan	ɡ a n a ɣ l j a n
binah	b ɪ n a h
ganah	ɡ a n a h
nahasson	n a h a sː o n
nahtamats	n a h t a m a t s
nahts	n a h t s
naiman	n ɛ m a n
naiteins	n ɛ t i n s
ganaitjan	ɡ a n ɛ t j a n
naitofaþeis	n ɛ t o ɸ a θ i s
nakor	n a k o r
namnjan	n a m n j a n
ganamnjan	ɡ a n a m n j a n
namo	n a m o
anananþjan	a n a n a n θ j a n
gananþjan	ɡ a n a n θ j a n
naqadei	n a kʷ a ð i
naqaþs	n a kʷ a θ s
nardus	n a r d u s
naseins	n a s i n s
nasjan	n a s j a n
nasjands	n a s j a n d s
ganasjan	ɡ a n a s j a n
nati	n a t ɪ
natjan	n a t j a n
ganatjan	ɡ a n a t j a n
naþan	n a θ a n
naubaimbair	n ɔ β ɛ m b ɛ r
naudibandi	n ɔ ð ɪ β a n d ɪ
naudiþaurfts	n ɔ ð ɪ θ ɔ r ɸ t s
naudiþaurfts	n ɔ ð ɪ θ ɔ r ɸ t s
nauel	n ɔ e l
nauh	n ɔ h
nauhþan	n ɔ h θ a n
nauhþanuh	n ɔ h θ a n u h
nauhuþþan	n ɔ h u θː a n
naum	n ɔ m
naus	n ɔ s
nauþjan	n ɔ θ j a n
ananauþjan	a n a n ɔ θ j a n
nauþs	n ɔ θ s
nawis	n a w ɪ s
ganawistron	ɡ a n a w ɪ s t r o n
miþganawistron	m ɪ θ ɡ a n a w ɪ s t r o n
nazaraiþ	n a z a r ɛ θ
nazoraius	n a z o r ɛ u s
nazorenus	n a z o r e n u s
ne	n e
neƕ	n e ʍ
neƕis	n e ʍ ɪ s
neƕa	n e ʍ a
neƕjan	n e ʍ j a n
atneƕjan	a t n e ʍ j a n
neƕundja	n e ʍ u n d j a
nei	n i
neiþ	n i θ
nekaudemus	n e k ɔ ð e m u s
neiwan	n i w a n
nerins	n e r ɪ n s
neþla	n e θ l a
ni	n ɪ
nibai	n ɪ β ɛ
nidwa	n ɪ ð w a
nih	n ɪ h
nikaudemus	n ɪ k ɔ ð e m u s
niman	n ɪ m a n
afniman	a ɸ n ɪ m a n
andniman	a n d n ɪ m a n
atniman	a t n ɪ m a n
biniman	b ɪ n ɪ m a n
disniman	d ɪ s n ɪ m a n
franiman	ɸ r a n ɪ m a n
ganiman	ɡ a n ɪ m a n
inniman	ɪ nː ɪ m a n
miþniman	m ɪ θ n ɪ m a n
usniman	u s n ɪ m a n
ganisan	ɡ a n ɪ s a n
nist	n ɪ s t
niþan	n ɪ θ a n
niþjis	n ɪ θ j ɪ s
niþjo	n ɪ θ j o
niu	n ɪ u
niuhseins	n ɪ u h s i n s
biniuhsjan	b ɪ n ɪ u h s j a n
ananiujan	a n a n ɪ u j a n
niujasatiþs	n ɪ u j a s a t ɪ θ s
niujis	n ɪ u j ɪ s
niujiþa	n ɪ u j ɪ θ a
niuklahei	n ɪ u k l a h i
niuklahs	n ɪ u k l a h s
niun	n ɪ u n
niunda	n ɪ u n d a
niuntehund	n ɪ u n t e h u n d
niutan	n ɪ u t a n
ganiutan	ɡ a n ɪ u t a n
ganohjan	ɡ a n o h j a n
ganohnan	ɡ a n o h n a n
notin	n o t ɪ n
nu	n u
nuh	n u h
nunu	n u n u
nuta	n u t a
nwmfan	n w m ɸ a n
o	o
obeid	o β i ð
odueia	o ð u i a
ogan	o ɣ a n
ogjan	o ɣ j a n
ohteigo	o h t i ɣ o
osaiin	o s ɛ ɪ n
osanna	o s a nː a
paida	p ɛ ð a
gapaidon	ɡ a p ɛ ð o n
paintekuste	p ɛ n t e k u s t e
paitrus	p ɛ t r u s
papan	p a p a n
parakletus	p a r a k l e t u s
paraskaiwe	p a r a s k ɛ w e
paska	p a s k a
pasxa	p a s χ a
pauntius	p ɔ n t ɪ u s
paurpura	p ɔ r p u r a
paurpaura	p ɔ r p ɔ r a
paurpuroþs	p ɔ r p u r o θ s
pawlus	p a w l u s
peikabagms	p i k a β a ɣ m̥ s
peilatus	p i l a t u s
pistikeins	p ɪ s t ɪ k i n s
plapja	p l a p j a
plat	p l a t
plinsjan	p l ɪ n s j a n
anapraggan	a n a p r a ŋ ɡ a n
praitoriaun	p r ɛ t o r ɪ ɔ n
praizbwtairei	p r ɛ z b w t ɛ r i
praizbwtairi	p r ɛ z b w t ɛ r ɪ
praufeteis	p r ɔ ɸ e t i s
praufetes	p r ɔ ɸ e t e s
praufetja	p r ɔ ɸ e t j a
praufetjan	p r ɔ ɸ e t j a n
priska	p r ɪ s k a
psalmon	p s a l m o n
pugg	p u ŋ ɡ
pund	p u n d
qainon	kʷ ɛ n o n
qairrei	kʷ ɛ rː i
qairrus	kʷ ɛ rː u s
qairu	kʷ ɛ r u
qartus	kʷ a r t u s
qens	kʷ e n s
qiman	kʷ ɪ m a n
anaqiman	a n a kʷ ɪ m a n
biqiman	b ɪ kʷ ɪ m a n
fauraqiman	ɸ ɔ r a kʷ ɪ m a n
fraqiman	ɸ r a kʷ ɪ m a n
gaqiman	ɡ a kʷ ɪ m a n
miþqiman	m ɪ θ kʷ ɪ m a n
usqiman	u s kʷ ɪ m a n
qinakunds	kʷ ɪ n a k u n d s
qineins	kʷ ɪ n i n s
qino	kʷ ɪ n o
qisteins	kʷ ɪ s t i n s
qistjan	kʷ ɪ s t j a n
fraqistjan	ɸ r a kʷ ɪ s t j a n
usqistjan	u s kʷ ɪ s t j a n
fraqistnan	ɸ r a kʷ ɪ s t n a n
qiþan	kʷ ɪ θ a n
afqiþan	a ɸ kʷ ɪ θ a n
anaqiþan	a n a kʷ ɪ θ a n
andqiþan	a n d kʷ ɪ θ a n
faurqiþan	ɸ ɔ r kʷ ɪ θ a n
fauraqiþan	ɸ ɔ r a kʷ ɪ θ a n
fraqiþan	ɸ r a kʷ ɪ θ a n
gaqiþan	ɡ a kʷ ɪ θ a n
miþqiþan	m ɪ θ kʷ ɪ θ a n
usqiþan	u s kʷ ɪ θ a n
qiþuhafto	kʷ ɪ θ u h a ɸ t o
qiþus	kʷ ɪ θ u s
anaqiujan	a n a kʷ ɪ u j a n
gaqiujan	ɡ a kʷ ɪ u j a n
miþgaqiujan	m ɪ θ ɡ a kʷ ɪ u j a n
gaqiunan	ɡ a kʷ ɪ u n a n
qius	kʷ ɪ u s
qrammiþa	kʷ r a mː ɪ θ a
qums	kʷ u m s
rabbaunei	r a bː ɔ n i
rabbei	r a bː i
ragaw	r a ɣ a w
ragin	r a ɣ ɪ n
ragineis	r a ɣ ɪ n i s
raginon	r a ɣ ɪ n o n
garaginon	ɡ a r a ɣ ɪ n o n
rahnjan	r a h n j a n
faurarahnjan	ɸ ɔ r a r a h n j a n
garahnjan	ɡ a r a h n j a n
rahton	r a h t o n
raibaikka	r ɛ β ɛ kː a
raidjan	r ɛ ð j a n
garaidjan	ɡ a r ɛ ð j a n
raihtis	r ɛ h t ɪ s
gáraihtjan	ɡ a r ɛ h t j a n
atgáraihtjan	a t ɡ a r ɛ h t j a n
raihts	r ɛ h t s
raihtaba	r ɛ h t a β a
urraisjan	u rː ɛ s j a n
raka	r a k a
ufrakjan	u ɸ r a k j a n
rama	r a m a
urrannjan	u rː a nː j a n
rasta	r a s t a
garaþjan	ɡ a r a θ j a n
raþjo	r a θ j o
raþizo	r a θ ɪ z o
biraubon	b ɪ r ɔ β o n
inrauhtjan	ɪ n r ɔ h t j a n
raupjan	r ɔ p j a n
raus	r ɔ s
rauþs	r ɔ θ s
razda	r a z d a
razn	r a z n̥
garedan	ɡ a r e ð a n
fauragaredan	ɸ ɔ r a ɣ a r e ð a n
undredan	u n d r e ð a n
urredan	u rː e ð a n
reiki	r i k ɪ
reikinon	r i k ɪ n o n
reikeis	r i k i s
reiks	r i k s
reiks	r i k s
reiran	r i r a n
inreiran	ɪ n r i r a n
reiro	r i r o
urreisan	u rː i s a n
resa	r e s a
rign	r ɪ ɣ n̥
rignjan	r ɪ ɣ n j a n
rikan	r ɪ k a n
rimis	r ɪ m ɪ s
rinnan	r ɪ nː a n
andrinnan	a n d r ɪ nː a n
atrinnan	a t r ɪ nː a n
duatrinnan	d u a t r ɪ nː a n
birinnan	b ɪ r ɪ nː a n
durinnan	d u r ɪ nː a n
fairrinnan	ɸ ɛ rː ɪ nː a n
faurrinnan	ɸ ɔ rː ɪ nː a n
frarinnan	ɸ r a r ɪ nː a n
garinnan	ɡ a r ɪ nː a n
undrinnan	u n d r ɪ nː a n
urrinnan	u rː ɪ nː a n
rinno	r ɪ nː o
riqis	r ɪ kʷ ɪ s
riqizeins	r ɪ kʷ ɪ z i n s
riqizjan	r ɪ kʷ ɪ z j a n
