Grapheme	IPA
balwawesei	b a l w a w e s i
balweins	b a l w i n s
balwjan	b a l w j a n
banauis	b a n ɔ ɪ s
bandi	b a n d ɪ
bandja	b a n d j a
bandwa	b a n d w a
bandwjan	b a n d w j a n
gabandwjan	ɡ a β a n d w j a n
bandwo	b a n d w o
banja	b a n j a
bansts	b a n s t s
barabba	b a r a bː a
barakeias	b a r a k i a s
barbarus	b a r b a r u s
barizeins	b a r ɪ z i n s
barms	b a r m̥ s
barn	b a r n̥
barnabas	b a r n a β a s
barnilo	b a r n ɪ l o
barniskei	b a r n ɪ s k i
barniski	b a r n ɪ s k ɪ
barnisks	b a r n ɪ s k s
barteimaiaus	b a r t i m ɛ ɔ s
barþaulaumaius	b a r θ ɔ l ɔ m ɛ u s
barusnjan	b a r u s n j a n
bassus	b a sː u s
batiza	b a t ɪ z a
batista	b a t ɪ s t a
gabatnan	ɡ a β a t n a n
batwins	b a t w ɪ n s
bauains	b ɔ ɛ n s
bauan	b ɔ a n
gabauan	ɡ a β ɔ a n
bauanairgais	b ɔ a n ɛ r ɡ ɛ s
bauauz	b ɔ ɔ z
usbaugjan	u s b ɔ ɣ j a n
ufbauljan	u ɸ b ɔ l j a n
baur	b ɔ r
baurgja	b ɔ r ɡ j a
baurgs	b ɔ r ɡ s
baurgswaddjus	b ɔ r ɡ s w a dː j u s
baurþei	b ɔ r θ i
bauþs	b ɔ θ s
beidan	b i ð a n
gabeidan	ɡ a β i ð a n
usbeidan	u s b i ð a n
beist	b i s t
gabeistjan	ɡ a β i s t j a n
beitan	b i t a n
andbeitan	a n d b i t a n
beroþ	b e r o θ
berusjos	b e r u s j o s
beþania	b e θ a n ɪ a
beþlaihaim	b e θ l ɛ h ɛ m
beþsaeida	b e θ s a i ð a
beþsfagei	b e θ s ɸ a ɣ i
bi	b ɪ
bibaurgeins	b ɪ β ɔ r ɡ i n s
bida	b ɪ ð a
bidagwa	b ɪ ð a ɣ w a
bidjan	b ɪ ð j a n
gabidjan	ɡ a β ɪ ð j a n
usbidan	u s b ɪ ð a n
bifaih	b ɪ ɸ ɛ h
bifaihon	b ɪ ɸ ɛ h o n
bihait	b ɪ h ɛ t
bihaitja	b ɪ h ɛ t j a
biƕe	b ɪ ʍ e
bijands	b ɪ j a n d s
bimait	b ɪ m ɛ t
bindan	b ɪ n d a n
andbindan	a n d b ɪ n d a n
bibindan	b ɪ β ɪ n d a n
gabindan	ɡ a β ɪ n d a n
bireikei	b ɪ r i k i
birekjai	b ɪ r e k j ɛ
birodeins	b ɪ r o ð i n s
birūnains	b ɪ r u n ɛ n s
birusjos	b ɪ r u s j o s
bisauleins	b ɪ s ɔ l i n s
bistugq	b ɪ s t u ŋ kʷ
bisunjane	b ɪ s u n j a n e
biþe	b ɪ θ e
