ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	MEANING	SENSE	SENSE_ID
71	1882	BEFORE	faurþis	zuvor;  früher	zuvor	zuvor-1
72	1806	BEGIN	ana-stodjan	anfangen;  anheben	anfangen	anfangen-1
73	1806	BEGIN	du-stodjan	anfangen;  anheben	anfangen	anfangen-2
74	1686	BEHIND	hindana	hinter;  jenseits	hinter	hinter-1
75	1686	BEHIND	hindar	hinter;  jenseits	hinter	hinter-2
76	1890	BELIEVE	ga-laubjan	glauben	glauben	glauben-1
77	1890	BELIEVE	man	meinen;  glauben;  dafür halten	 glauben	glauben-2
78	1890	BELIEVE	munan	meinen;  glauben;  dafür halten; etw. zu tun gedenken;  wollen	 glauben	glauben-3
79	1890	BELIEVE	þugkjan	 meinen; glauben;  gelten	glauben	glauben-4
80	1251	BELLY	wamba	 Schoß; Bauch	Bauch	Bauch-1
85	1485	BELOW OR UNDER	undaro	unter	unter	unter-5
86	772	BELT	gairda	Gürtel	Gürtel	Gurtel-1
88	2929	BENEFIT	bota	Nutzen	Nutzen	Nutzen-1
91	1202	BIG	mikils	groß	groß	gro-1
93	937	BIRD	fugls	Vogel	Vogel	Vogel-1
94	1403	BITE	beitan	beißen	beißen	beien-1
95	887	BITTER	baitrs	bitter	bitter	bitter-1
96	163	BLACK	swarts	schwarz	schwarz	schwarz-1
98	1653	BLIND	blinds	blind	blind	blind-1
99	946	BLOOD	bloþ	Blut	Blut	Blut-1
105	101	BOAST	flautjan	prahlen	prahlen	prahlen-1
108	1480	BODY	leik	Körper;  Leib	 Leib	Leib-1
109	792	BOIL (OF LIQUID)	wulan	wallen;  sieden	 sieden	sieden-1
111	2860	BOLT (MOVE IN HASTE)	sniumjan	eilen	eilen	eilen-1
112	2860	BOLT (MOVE IN HASTE)	sniwan	eilen	eilen	eilen-2
113	1394	BONE				
114	963	BOOK				
115	585	BOOT				
116	2546	BORDER	marka	Mark;  Grenze	 Grenze	Grenze-1
117	2930	BOSS				
118	2869	BOTHER (HARASS)	kaurjan	drücken;  belästigen	 belästigen	belastigen-1
119	994	BOW				
120	1465	BOX				
121	1366	BOY	magus	Knabe	Knabe	Knabe-1
122	1583	BRAIN				
123	1531	BRANCH	asts	Ast	Ast	Ast-1
124	2902	BRAWL (FIGHT)				
125	1368	BREAD	hlaifs	Brot;  Brotbissen	Brot	Brot-1
126	2558	BREAK (CLEAVE)	ga-brikan	zerbrechen	zerbrechen	zerbrechen-1
127	2558	BREAK (CLEAVE)	ga-kroton	zerbrechen;  zerschellen	zerbrechen	zerbrechen-2
128	680	BREAK (DESTROY OR GET DESTROYED)	brikan	brechen;  zerstören	brechen	brechen-1
129	460	BREAK (OF ROPE)				
130	1402	BREAST	barms	Busen;  Schoß	Busen	Busen-1
131	870	BREATH				
132	1407	BREATHE				
133	1011	BRIDGE				
134	679	BRIGHT	bairhts	hell;  offenbar	hell	hell-1
135	679	BRIGHT	liuhadeins*	hell	hell	hell-2
136	692	BRING	at-bairan	bringen	bringen	bringen-1
137	692	BRING	briggan	bringen	bringen	bringen-2
138	245	BROOM				
139	1262	BROTHER	broþar	Bruder	Bruder	Bruder-1
140	2052	BUCKET				
141	2861	BUDGE (ONESELF)				
142	1840	BUILD	timbrjan	bauen	bauen	bauen-1
143	1840	BUILD	timrjan	bauen	bauen	bauen-2
144	1008	BULL	stiur	Stier;  Kalb	Stier	Stier-1
145	2943	BUNDLE				
146	141	BURN (SOMETHING)	ga-brannjan	verbrennen	verbrennen	verbrennen-1
147	141	BURN (SOMETHING)	uf-brinnan	verbrennen	verbrennen	verbrennen-2
148	141	BURN (SOMETHING)	in-tandjan	 verbrennen; in Brand setzen	 verbrennen	verbrennen-3
149	141	BURN (SOMETHING)	in-tundnan	verbrennen	verbrennen	verbrennen-4
150	1428	BURNING	brinnan	brennen	brennen	brennen-1
151	1428	BURNING	tundnan	brennen	brennen	brennen-2
152	2931	BUSINESS	gawaurki	 Erwerb; Geschäft;  Gewinn	Geschäft	Geschaft-1
153	1245	BUTTER				
154	1791	BUTTERFLY				
155	757	BUTTON				
156	1869	BUY	bugjan	kaufen	kaufen	kaufen-1
157	2867	CALCULATE	rahnjan	rechnen	rechnen	rechnen-1
158	1084	CALL	hropjan	rufen	rufen	rufen-1
159	1084	CALL	wopjan	rufen	rufen	rufen-2
160	2944	CALL (APPEAL)	hrops	Ruf;  Geschrei	Ruf	Ruf-1
161	180	CALL BY NAME	haitan	heißen;  nennen	 nennen	nennen-1
162	180	CALL BY NAME	namnjan	nennen	nennen	nennen-2
163	180	CALL BY NAME	ga-namnjan	benennen	benennen	benennen-1
166	2986	CAMPFIRE				
167	1288	CAP				
168	700	CARRY	bairan	tragen 	tragen 	tragen-1
169	700	CARRY	†dragan	tragen	tragen	tragen-2
170	1208	CAT				
171	702	CATCH	fāhan	fangen;  greifen	fangen	fangen-1
172	702	CATCH	niman	 fangen; nehmen;  annehmen;  aufnehmen;  empfangen	 fangen	fangen-2
173	2896	CAUSE TO (LET)	leitan	lassen	lassen	lassen-1
174	2896	CAUSE TO (LET)	letan	lassen	lassen	lassen-2
176	1155	CAVE	filegri	Höhle	Höhle	Hohle-1
177	1155	CAVE	filigri*	Höhle	Höhle	Hohle-2
178	1155	CAVE	groba	Grube;  Höhle	 Höhle	Hohle-3
179	1155	CAVE	hulundi	Höhle	Höhle	Hohle-4
180	1928	CEASE	ƕeilan	aufhören	aufhören	aufhoren-1
181	1928	CEASE	ga-ƕeilan	 aufhören; zur Ruhe kommen	 aufhören	aufhoren-2
182	1928	CEASE	†ga-nanþjan	aufhören	aufhören	aufhoren-3
183	1476	CHAIR	stols	Stuhl;  Thron	Stuhl	Stuhl-1
184	1264	CHANGE				
185	2857	CHANGE (BECOME DIFFERENT)				
186	1024	CHARACTER	boka	Buchstabe	Buchstabe	Buchstabe-1
187	2903	CHAT (WITH SOMEBODY)				
188	1887	CHEAP				
189	1730	CHEEK	kinnus	Wange	Wange	Wange-1
190	1592	CHEST	brusts	Brust	Brust	Brust-1
191	1318	CHICKEN				
192	1304	CHILD (YOUNG HUMAN)				
193	2897	CHIME (ACTION)				
194	1510	CHIN				
195	1750	CHOOSE	waljan	wählen	wählen	wahlen-1
196	2149	CHOP (INTO PIECES)				
197	1349	CHURCH	aikklesjo	Gemeinde;  Kirche;  Gotteshaus	 Kirche	Kirche-1
198	1467	CIRCLE				
199	72	CLAW				
200	1399	CLAY	þāho	Lehm	Lehm	Lehm-1
201	704	CLEAN				
202	2235	CLEAN (SOMETHING)	hrainjan	reinigen	reinigen	reinigen-1
203	2235	CLEAN (SOMETHING)	ga-hrainjan	reinigen	reinigen	reinigen-2
204	1310	CLEVER	froþs	 verständig; klug	klug	klug-1
205	1310	CLEVER	handugs	 klug; weise	 klug	klug-2
206	1102	CLIMB				
207	589	CLOSED				
208	1616	CLOTH				
209	1895	CLOTHES	gafeteins	Kleidung	Kleidung	Kleidung-1
210	1489	CLOUD	milhma	Wolke	Wolke	Wolke-1
211	2658	COAL	hauri	Kohle	Kohle	Kohle-1
212	1525	COAST				
213	1287	COLD	kalds	kalt	kalt	kalt-1
214	2932	COLD (CHILL)				
215	2483	COLD (OF WEATHER)				
216	2012	COLLAR				
217	2997	COLORFUL				
218	1475	COMB				
219	2070	COMB (VERB)				
220	1446	COME	ana-gaggan	kommen	kommen	kommen-1
221	1446	COME	at-gaggan	 kommen; hinzugehen	 kommen	kommen-2
222	1446	COME	ga-leiþan	kommen;  gehn	kommen	kommen-3
223	1446	COME	qiman	kommen	kommen	kommen-4
224	1446	COME	ga-sniumjan	 kommen; hineilen	 kommen	kommen-5
225	1446	COME	qums	 Gegenwart; das Kommen;  Ankunft;  Wiederkunft Christi	das Kommen	dasKommen-1
226	581	COME BACK				
227	3455	COMMEND	hazjan	loben;  preisen wegen	loben	loben-1
228	2983	COMPANIONSHIP				
229	2862	CONNECT	ga-gáhaftjan	zusammenheften;  verbinden	 verbinden	verbinden-1
230	2862	CONNECT	faur-waipjan	verbinden	verbinden	verbinden-2
231	2862	CONNECT	ga-widan	 verbinden; zusammenbinden	 verbinden	verbinden-3
232	2933	CONVERSATION	gawaurdi	Gespräch	Gespräch	Gesprach-1
235	192	CORNER	waihsta	Winkel;  Ecke	 Ecke	Ecke-1
236	1725	CORRECT (RIGHT)	raihtaba	recht;  richtig	 richtig	richtig-1
237	879	COUGH				
238	1420	COUNT	ga-raþjan	zählen	zählen	zahlen-1
239	2945	COUNT (QUANTITY)				
241	1300	COUNTRY	land	Land;  Gegend	Land	Land-2
242	761	COVER				
243	1007	COW				
244	2946	CRADLE				
245	1830	CRANE				
246	3215	CREEP	sliupan	schleichen;  schlüpfen	schleichen	schleichen-1
247	1367	CROSS	galga	Pfahl;  Kreuz	 Kreuz	Kreuz-1
248	913	CROW				
249	1839	CRY	gretan	 klagen; weinen	weinen	weinen-1
250	1839	CRY	qainon	weinen;  trauern	weinen	weinen-2
251	1839	CRY	tagrjan	weinen	weinen	weinen-3
252	1839	CRY	grets	das Weinen	das Weinen	dasWeinen-1
253	2934	CUCKOO				
254	476	CUP	stikls	Becher;  Kelch	Becher	Becher-1
255	2935	CURRENT (STREAM)				
256	1432	CUT	sneiþan	schneiden;  ernten	schneiden	schneiden-1
257	1116	DAMAGE	ga-sleiþjan	beschädigen	beschädigen	beschadigen-1
258	2947	DAMAGE (INJURY)	skaþis	Schaden;  Unrecht	Schaden	Schaden-1
259	2947	DAMAGE (INJURY)	sleiþa	Schaden	Schaden	Schaden-2
260	2947	DAMAGE (INJURY)	skaþjan	schaden	schaden	schaden-1
261	2998	DAMP				
262	1879	DANCE	plinsjan	tanzen	tanzen	tanzen-1
263	706	DARK				
264	2863	DASH (OF VEHICLE)				
265	1357	DAUGHTER	dauhtar	Tochter	Tochter	Tochter-1
266	1225	DAY (NOT NIGHT)	dags	Tag	Tag	Tag-1
267	996	DEAF	daufs	taub;  verstockt	taub	taub-1
268	2470	DEAR	liufs*	lieb	lieb	lieb-1
269	910	DEATH	dauþus	Tod	Tod	Tod-1
270	3230	DECEIVE				
271	2855	DECEMBER				
272	1739	DECORATE	fetjan	schmücken	schmücken	schmucken-1
273	2864	DECREASE	minznan	abnehmen	abnehmen	abnehmen-1
274	2864	DECREASE	af-niman	 wegnehmen; abnehmen	abnehmen	abnehmen-2
275	1330	DEFEND	warjan	wehren	wehren	wehren-1
276	3231	DEITY	guþ	Gott	Gott	Gott-1
277	2239	DENSE				
278	681	DESTROY	brikan	brechen;  zerstören	 zerstören	zerstoren-1
279	681	DESTROY	ga-tairan	 zerstören;  aufheben; zerreißen	 zerstören	zerstoren-2
280	1824	DEXTEROUS	fagrs*	geschickt;  geeignet	geschickt	geschickt-1
281	1494	DIE	ga-dauþnan	sterben	sterben	sterben-1
282	1494	DIE	diwan	sterben	sterben	sterben-2
283	1494	DIE	ga-swiltan	sterben	sterben	sterben-3
284	2865	DIE (FROM ACCIDENT)	fra-qistnan	umkommen;  zugrunde gehn	umkommen	umkommen-1
285	2504	DIFFERENT	aljaleiko	anders	anders	anders-1
286	2504	DIFFERENT	aljaleikos	anders	anders	anders-2
287	2504	DIFFERENT	andizuh	anders;  sonst	anders	anders-3
288	2504	DIFFERENT	anþarleiko	anders	anders	anders-4
289	2504	DIFFERENT	missaleiks	verschieden	verschieden	verschieden-1
290	1418	DIG	graban	graben	graben	graben-1
